name,rating,genre,score,director,writer,star,company,year,country
This Is Spinal Tap,R,Comedy,7.9,Rob Reiner,Christopher Guest,Rob Reiner,Spinal Tap Prod.,1984,United States
1984,R,Drama,7.1,Michael Radford,Michael Radford,John Hurt,Virgin,1985,United States
Top Secret!,PG,Comedy,7.2,Jim Abrahams,Jim Abrahams,Val Kilmer,Kingsmere Properties,1984,United States
Conan the Destroyer,PG,Action,5.9,Richard Fleischer,Robert E. Howard,Arnold Schwarzenegger,Dino De Laurentiis Company,1984,United States
Children of the Corn,R,Horror,5.6,Fritz Kiersch,Stephen King,Peter Horton,Hal Roach Studios,1984,United States
The Last Starfighter,PG,Action,6.8,Nick Castle,Jonathan R. Betuel,Lance Guest,Lorimar Film Entertainment,1984,United States
Splash,PG,Comedy,6.3,Ron Howard,Brian Grazer,Tom Hanks,Touchstone Pictures,1984,United States
Blood Simple,R,Crime,7.6,Joel Coen,Joel Coen,John Getz,River Road Productions,1985,United States
The Natural,PG,Drama,7.5,Barry Levinson,Bernard Malamud,Robert Redford,TriStar Pictures,1984,United States
Bachelor Party,R,Comedy,6.3,Neal Israel,Bob Israel,Tom Hanks,Bachelor Party Productions,1984,United States
Friday the 13th: the Final Chapter,R,Horror,6.0,Joseph Zito,Victor Miller,Erich Anderson,Paramount Pictures,1984,United States
Hardbodies,R,Comedy,4.9,Mark Griffiths,Steve Greene,Grant Cramer,Chroma III Productions,1984,United States
Against All Odds,R,Action,5.9,Taylor Hackford,Eric Hughes,Rachel Ward,Columbia Pictures,1984,United States
Supergirl,PG,Action,4.4,Jeannot Szwarc,David Odell,Helen Slater,Artistry Limited,1984,United States
The Bounty,PG,Adventure,7.0,Roger Donaldson,Robert Bolt,Mel Gibson,Dino De Laurentiis Company,1984,United States
Firestarter,R,Action,6.1,Mark L. Lester,Stephen King,Drew Barrymore,Dino De Laurentiis Company,1984,United States
C.H.U.D.,R,Horror,5.6,Douglas Cheek,Parnell Hall,John Heard,C.H.U.D. Productions,1984,United States
The Woman in Red,PG-13,Comedy,6.0,Gene Wilder,Jean-Loup Dabadie,Gene Wilder,Orion Pictures,1984,United States
Runaway,PG-13,Action,5.9,Michael Crichton,Michael Crichton,Tom Selleck,TriStar Pictures,1984,United States
The Adventures of Buckaroo Banzai Across the 8th Dimension,PG,Adventure,6.4,W.D. Richter,Earl Mac Rauch,Peter Weller,Sherwood Productions,1984,Canada
Star Trek III: The Search for Spock,PG,Action,6.7,Leonard Nimoy,Gene Roddenberry,William Shatner,Paramount Pictures,1984,United States
Repo Man,R,Action,6.9,Alex Cox,Alex Cox,Harry Dean Stanton,Edge City Productions,1984,United States
2010: the Year We Make Contact,PG,Adventure,6.8,Peter Hyams,Arthur C. Clarke,Roy Scheider,Metro-Goldwyn-Mayer (MGM),1984,United States
The Killing Fields,R,Biography,7.8,Roland Joffé,Bruce Robinson,Sam Waterston,Goldcrest Films International,1985,United States
The Cotton Club,R,Crime,6.5,Francis Ford Coppola,William Kennedy,Richard Gere,Zoetrope Studios,1984,United States
Starman,PG,Romance,7.0,John Carpenter,Bruce A. Evans,Jeff Bridges,Columbia Pictures,1984,United States
Night of the Comet,PG-13,Comedy,6.4,Thom Eberhardt,Thom Eberhardt,Catherine Mary Stewart,Atlantic Entertainment Group,1984,United States
Blame It on Rio,R,Comedy,5.8,Stanley Donen,Charlie Peters,Michael Caine,Sherwood Productions,1984,United States
Dreamscape,PG-13,Action,6.3,Joseph Ruben,David Loughery,Dennis Quaid,Zupnik-Curtis Enterprises,1984,United States
Crimes of Passion,R,Drama,6.4,Ken Russell,Barry Sandler,Kathleen Turner,New World Pictures,1984,United States
The Philadelphia Experiment,PG,Adventure,6.1,Stewart Raffill,Michael Janover,Michael Paré,New World Pictures,1984,United States
Places in the Heart,PG,Drama,7.4,Robert Benton,Robert Benton,Sally Field,Delphi II Productions,1984,United States
Bolero,R,Comedy,3.0,John Derek,John Derek,Bo Derek,City Films,1984,United States
Cannonball Run II,PG,Action,5.1,Hal Needham,Brock Yates,Burt Reynolds,Arcafin B.V.,1984,United States
Stranger Than Paradise,R,Comedy,7.5,Jim Jarmusch,Jim Jarmusch,John Lurie,Cinesthesia Productions,1984,United Kingdom
The Ice Pirates,PG,Action,5.7,Stewart Raffill,Stewart Raffill,Robert Urich,Metro-Goldwyn-Mayer (MGM),1984,United States
A Passage to India,PG,Adventure,7.3,David Lean,E.M. Forster,Judy Davis,EMI Films,1985,United States
Purple Rain,R,Drama,6.5,Albert Magnoli,Albert Magnoli,Prince,Warner Bros.,1984,United States
The Hotel New Hampshire,R,Comedy,6.0,Tony Richardson,John Irving,Rob Lowe,Filmline Productions,1984,United States
The Hit,R,Crime,7.1,Stephen Frears,Peter Prince,Freddie Stuart,Zenith Entertainment,1985,United States
Sheena,PG,Adventure,4.9,John Guillermin,David Newman,Tanya Roberts,Colgems Productions Ltd.,1984,United States
Missing in Action,R,Action,5.5,Joseph Zito,Arthur Silver,Chuck Norris,The Cannon Group,1984,United States
"Greystoke: The Legend of Tarzan, Lord of the Apes",PG,Adventure,6.4,Hugh Hudson,Edgar Rice Burroughs,Christopher Lambert,Warner Bros.,1984,United States
The Muppets Take Manhattan,G,Adventure,6.9,Frank Oz,Tom Patchett,Jim Henson,Henson Associates (HA),1984,United States
The Wild Life,R,Comedy,6.1,Art Linson,Cameron Crowe,Chris Penn,Universal Pictures,1984,United States
Falling in Love,PG-13,Drama,6.5,Ulu Grosbard,Michael Cristofer,Robert De Niro,Paramount Pictures,1984,United States
Gwendoline,R,Action,5.3,Just Jaeckin,Just Jaeckin,Tawny Kitaen,Films de L'Alma,1985,United States
Breakin',PG,Comedy,5.8,Joel Silberg,Charles Parker,Lucinda Dickey,Golan-Globus Productions,1984,United States
Birdy,R,Drama,7.3,Alan Parker,William Wharton,Matthew Modine,A&M Films,1984,United States
The Company of Wolves,R,Drama,6.7,Neil Jordan,Angela Carter,Sarah Patterson,Incorporated Television Company (ITC),1985,United States
Ghoulies,PG-13,Comedy,4.2,Luca Bercovici,Luca Bercovici,Peter Liapis,Empire Pictures,1985,United States
Electric Dreams,PG,Comedy,6.5,Steve Barron,Rusty Lemorande,Lenny von Dohlen,Virgin,1984,United States
Cloak & Dagger,PG,Action,6.6,Richard Franklin,Tom Holland,Henry Thomas,Universal Pictures,1984,United States
Racing with the Moon,PG,Comedy,6.7,Richard Benjamin,Steve Kloves,Sean Penn,Jaffe-Lansing,1984,United States
"Silent Night, Deadly Night",R,Horror,5.9,Charles E. Sellier Jr.,Paul Caimi,Lilyan Chauvin,TriStar Pictures,1984,United States
The Pope of Greenwich Village,R,Action,6.7,Stuart Rosenberg,Vincent Patrick,Eric Roberts,United Artists,1984,United States
All of Me,PG,Comedy,6.7,Carl Reiner,Edwin Davis,Steve Martin,Kings Road Entertainment,1984,United States
"Grandview, U.S.A.",R,Drama,5.4,Randal Kleiser,Ken Hixon,Jamie Lee Curtis,CBS Theatrical Films,1984,United States
Where the Boys Are,R,Comedy,4.1,Hy Averback,Stu Krieger,Lisa Hartman,Incorporated Television Company (ITC),1984,United States
Reckless,R,Comedy,6.3,James Foley,Chris Columbus,Aidan Quinn,Edgar J. Scherick Associates,1984,United States
Tightrope,R,Crime,6.3,Richard Tuggle,Richard Tuggle,Clint Eastwood,The Malpaso Company,1984,United States
Rhinestone,PG,Comedy,3.9,Bob Clark,Phil Alden Robinson,Sylvester Stallone,Twentieth Century Fox,1984,United States
The Flamingo Kid,PG-13,Comedy,6.2,Garry Marshall,Neal Marshall,Matt Dillon,ABC Motion Pictures,1984,United States
Up the Creek,R,Comedy,5.6,Robert Butler,Jim Kouf,Tim Matheson,Orion Pictures,1984,United States
Swing Shift,PG,Drama,5.9,Jonathan Demme,Nancy Dowd,Goldie Hawn,Warner Bros.,1984,United States
Beat Street,PG,Drama,6.5,Stan Lathan,Steven Hager,Rae Dawn Chong,Orion Pictures,1984,United States
Joy of Sex,R,Comedy,3.7,Martha Coolidge,Kathleen Rowell,Cameron Dye,Paramount Pictures,1984,United States
Breakin' 2: Electric Boogaloo,PG,Comedy,5.1,Sam Firstenberg,Charles Parker,Lucinda Dickey,TriStar Pictures,1984,United States
The Razor's Edge,PG-13,Drama,6.6,John Byrum,W. Somerset Maugham,Bill Murray,Columbia Pictures,1984,United States
Tank,PG,Action,5.8,Marvin J. Chomsky,Dan Gordon,James Garner,Lorimar Film Entertainment,1984,United States
Moscow on the Hudson,R,Comedy,6.5,Paul Mazursky,Paul Mazursky,Robin Williams,Bavaria Film,1984,United States
Ninja III: The Domination,R,Action,5.4,Sam Firstenberg,James R. Silke,Shô Kosugi,Golan-Globus Productions,1984,United States
The Warrior and the Sorceress,R,Adventure,4.3,John C. Broderick,John C. Broderick,David Carradine,Aries Cinematográfica Argentina,1984,United States
The Evil That Men Do,R,Action,6.0,J. Lee Thompson,R. Lance Hill,Charles Bronson,Capricorn,1984,United States
Firstborn,R,Drama,6.2,Michael Apted,Ron Koslow,Teri Garr,Paramount Pictures,1984,United States
Cut and Run,R,Adventure,5.7,Ruggero Deodato,Cesare Frugoni,Lisa Blount,Racing Pictures,1986,United States
Teachers,R,Comedy,6.1,Arthur Hiller,W.R. McKinney,Nick Nolte,United Artists,1984,United States
Repentance,PG,Drama,8.3,Tengiz Abuladze,Tengiz Abuladze,Avtandil Makharadze,Georgian-Film,1987,Denmark
The River,PG-13,Drama,6.3,Mark Rydell,Robert Dillon,Mel Gibson,Universal Pictures,1985,United States
Razorback,R,Horror,6.0,Russell Mulcahy,Everett De Roche,Gregory Harrison,UAA Films,1984,United States
A Soldier's Story,PG,Crime,7.2,Norman Jewison,Charles Fuller,Howard E. Rollins Jr.,Columbia Pictures,1984,United States
Comfort and Joy,PG,Comedy,6.7,Bill Forsyth,Bill Forsyth,Bill Paterson,Lake (Comfort and Joy),1984,United States
Meatballs Part II,PG,Comedy,3.7,Ken Wiederhorn,Martin Kitrosser,Richard Mulligan,TriStar Pictures,1984,United States
Lassiter,R,Action,5.9,Roger Young,David Taylor,Tom Selleck,Golden Harvest Company,1984,United States
Irreconcilable Differences,PG,Comedy,5.8,Charles Shyer,Nancy Meyers,Ryan O'Neal,Hemdale,1984,United States
City Heat,PG,Action,5.5,Richard Benjamin,Blake Edwards,Clint Eastwood,Warner Bros.,1984,United States
Under the Volcano,R,Drama,7.0,John Huston,Malcolm Lowry,Albert Finney,Conacite Uno,1984,United States
Iceman,PG,Drama,6.1,Fred Schepisi,Chip Proser,Timothy Hutton,Universal Pictures,1984,United States
Flashpoint,R,Action,6.4,William Tannen,George LaFountaine,Kris Kristofferson,HBO Pictures,1984,United States
The Little Drummer Girl,R,Drama,6.1,George Roy Hill,Loring Mandel,Diane Keaton,Bavaria Film,1984,United States
Lust in the Dust,R,Comedy,6.4,Paul Bartel,Philip John Taylor,Tab Hunter,Fox Run Productions Inc.,1985,United States
Hot Moves,R,Comedy,4.8,Jim Sotos,Larry Anderson,Michael Zorek,Spectrum Cinema Productions,1984,United States
Oxford Blues,PG-13,Comedy,5.3,Robert Boris,Robert Boris,Rob Lowe,Baltic Industrial Finance,1984,United States
The Brother from Another Planet,R,Comedy,6.8,John Sayles,John Sayles,Joe Morton,Anarchist's Convention Films,1984,United States
No Small Affair,R,Comedy,5.5,Jerry Schatzberg,Craig Bolotin,Jon Cryer,Delphi II Productions,1984,United States
Broadway Danny Rose,PG,Comedy,7.4,Woody Allen,Woody Allen,Woody Allen,Orion Pictures,1984,United States
Best Defense,R,Comedy,3.8,Willard Huyck,Robert Grossbach,Dudley Moore,Cinema Group Ventures,1984,United States
Micki + Maude,PG-13,Comedy,6.0,Blake Edwards,Jonathan Reynolds,Dudley Moore,BBE,1984,United States
Protocol,PG,Comedy,5.5,Herbert Ross,Buck Henry,Goldie Hawn,Hawn / Sylbert Movie Company,1984,United States
Exterminator 2,R,Action,4.5,Mark Buntzman,Mark Buntzman,Robert Ginty,The Cannon Group,1984,United States
American Dreamer,PG,Comedy,6.6,Rick Rosenthal,Ann Biderman,JoBeth Williams,CBS Theatrical Films,1984,United States
The Lonely Guy,R,Comedy,6.3,Arthur Hiller,Ed. Weinberger,Steve Martin,Universal Pictures,1984,United States
Choose Me,R,Comedy,6.8,Alan Rudolph,Alan Rudolph,Geneviève Bujold,Tartan Productions,1984,United States
Making the Grade,R,Comedy,5.7,Dorian Walker,Gene Quintano,Judd Nelson,The Cannon Group,1984,United States
Full Moon in Paris,R,Comedy,7.4,Éric Rohmer,Éric Rohmer,Pascale Ogier,Les Films du Losange,1984,France
Unfaithfully Yours,PG,Comedy,6.0,Howard Zieff,Preston Sturges,Dudley Moore,Twentieth Century Fox,1984,United States
Impulse,R,Horror,5.9,Graham Baker,Nicholas Kazan,Tim Matheson,ABC Motion Pictures,1984,United States
Mrs. Soffel,PG-13,Drama,6.1,Gillian Armstrong,Ron Nyswaner,Diane Keaton,Edgar J. Scherick Associates,1985,United States
Garbo Talks,PG-13,Comedy,6.4,Sidney Lumet,Larry Grusin,Anne Bancroft,United Artists,1984,United States
Country,PG,Drama,6.7,Richard Pearce,William D. Wittliff,Jessica Lange,Far West,1984,United States
Cheech & Chong's the Corsican Brothers,PG,Comedy,4.7,Tommy Chong,Tommy Chong,Cheech Marin,Orion Pictures,1984,United States
Purple Hearts,R,Drama,5.8,Sidney J. Furie,Rick Natkin,Ken Wahl,The Ladd Company,1984,West Germany
Give My Regards to Broad Street,PG,Drama,5.2,Peter Webb,Paul McCartney,Paul McCartney,MPL Communications,1984,United States
Songwriter,R,Drama,6.3,Alan Rudolph,Bud Shrake,Willie Nelson,TriStar Pictures,1984,United States
Finders Keepers,R,Comedy,5.4,Richard Lester,Charles Dennis,Michael O'Keefe,CBS Theatrical Films,1984,United States
Body Rock,PG-13,Drama,3.7,Marcelo Epstein,Desmond Nakano,Lorenzo Lamas,New World Pictures,1984,United States
The River Rat,PG,Adventure,6.3,Thomas Rickman,Thomas Rickman,Tommy Lee Jones,Cinema Group Ventures,1984,United States
Just the Way You Are,PG,Comedy,5.9,Édouard Molinaro,Allan Burns,Kristy McNichol,Metro-Goldwyn-Mayer (MGM),1984,United States
Until September,R,Drama,5.7,Richard Marquand,Janice Lee Graham,Karen Allen,United Artists,1984,United States
Crackers,PG,Adventure,5.2,Louis Malle,Jeffrey Alan Fiskin,Donald Sutherland,Universal Pictures,1984,United States
Kaos,R,Comedy,7.9,Paolo Taviani,Luigi Pirandello,Margarita Lozano,Filmtre,1986,United States
Misunderstood,PG,Drama,6.0,Jerry Schatzberg,Florence Montgomery,Gene Hackman,ACCENT Films,1984,United States
Mike's Murder,R,Drama,5.8,James Bridges,James Bridges,Debra Winger,Skyewiay,1984,United States
The Buddy System,PG,Drama,5.7,Glenn Jordan,Mary Agnes Donoghue,Richard Dreyfuss,Twentieth Century Fox,1984,United States
A Private Function,R,Comedy,6.5,Malcolm Mowbray,Alan Bennett,Michael Palin,HandMade Films,1985,United States
Scandalous,PG,Comedy,4.5,Rob Cohen,Larry Cohen,Robert Hays,Angeles Cinema Investors,1984,United States
"Oh, God! You Devil",PG,Comedy,5.4,Paul Bogart,Andrew Bergman,George Burns,Warner Bros.,1984,United States
The Bay Boy,R,Drama,6.3,Daniel Petrie,Daniel Petrie,Liv Ullmann,International Cinema Corporation (ICC),1985,United States
Heavenly Bodies,R,Drama,5.2,Lawrence Dane,Lawrence Dane,Cynthia Dale,Producers Sales Organization (PSO),1985,United States
Heartbreakers,R,Drama,5.9,Bobby Roth,Bobby Roth,Peter Coyote,Jethro Films Production,1984,United States
Champions,PG,Biography,6.5,John Irvin,Bob Champion,John Hurt,Archerwest,1984,United States
A Sunday in the Country,G,Drama,7.6,Bertrand Tavernier,Pierre Bost,Louis Ducreux,Films A2,1984,France
Mass Appeal,PG,Drama,6.6,Glenn Jordan,Bill C. Davis,Jack Lemmon,David Foster Productions,1984,United States
Windy City,R,Drama,5.8,Armyan Bernstein,Armyan Bernstein,John Shea,CBS Theatrical Films,1986,Uruguay
Lovelines,R,Comedy,5.3,Rod Amateau,Chip Hand,Greg Bradford,Delphi II Productions,1984,United States
Weekend Pass,R,Comedy,3.8,Lawrence Bassoff,Lawrence Bassoff,Patrick Houser,Marimark Productions,1984,United States
Over the Brooklyn Bridge,R,Comedy,5.7,Menahem Golan,Arnold Somkin,Elliott Gould,City Films,1984,United States
Lily in Love,PG-13,Comedy,5.7,Károly Makk,Frank Cucci,Christopher Plummer,Hungarofilm,1985,United States
Almost You,R,Comedy,5.1,Adam Brooks,Adam Brooks,Brooke Adams,Almost You,1985,United States
Blame It on the Night,PG-13,Comedy,5.1,Gene Taft,Gene Taft,Nick Mancuso,Delphi II Productions,1984,United States
Petit Con,R,Comedy,6.2,Gérard Lauzier,Gérard Lauzier,Guy Marchand,Gaumont International,1985,United States
Weird Science,PG-13,Comedy,6.6,John Hughes,John Hughes,Anthony Michael Hall,Universal Pictures,1985,United States
The Goonies,PG,Adventure,7.8,Richard Donner,Chris Columbus,Sean Astin,Warner Bros.,1985,United States
Back to the Future,PG,Adventure,8.5,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,Universal Pictures,1985,United States
To Live and Die in L.A.,R,Action,7.3,William Friedkin,Gerald Petievich,William Petersen,SLM Production Group,1985,United States
Clue,PG,Comedy,7.3,Jonathan Lynn,John Landis,Eileen Brennan,Paramount Pictures,1985,United States
The Breakfast Club,R,Comedy,7.8,John Hughes,John Hughes,Emilio Estevez,Universal Pictures,1985,United States
Cocoon,PG-13,Comedy,6.7,Ron Howard,Tom Benedek,Don Ameche,Twentieth Century Fox,1985,United States
Rambo: First Blood Part II,R,Action,6.5,George P. Cosmatos,David Morrell,Sylvester Stallone,Estudios Churubusco Azteca S.A.,1985,United States
Mask,PG-13,Biography,7.2,Peter Bogdanovich,Anna Hamilton Phelan,Cher,Universal Pictures,1985,United States
Legend,PG,Adventure,6.4,Ridley Scott,William Hjortsberg,Tom Cruise,Legend Production Company,1986,United States
The Return of the Living Dead,R,Comedy,7.3,Dan O'Bannon,Rudy Ricci,Clu Gulager,Cinema '84,1985,United States
St. Elmo's Fire,R,Drama,6.4,Joel Schumacher,Joel Schumacher,Demi Moore,Columbia Pictures,1985,United States
Brazil,R,Drama,7.9,Terry Gilliam,Terry Gilliam,Jonathan Pryce,Embassy International Pictures,1985,United States
Pale Rider,R,Drama,7.3,Clint Eastwood,Michael Butler,Clint Eastwood,The Malpaso Company,1985,United States
Teen Wolf,PG,Comedy,6.1,Rod Daniel,Jeph Loeb,Michael J. Fox,Atlantic Entertainment Group,1985,United States
Real Genius,PG,Comedy,7.0,Martha Coolidge,Neal Israel,Val Kilmer,Delphi III Productions,1985,United States
Commando,R,Action,6.7,Mark L. Lester,Jeph Loeb,Arnold Schwarzenegger,SLM Production Group,1985,United States
Witness,R,Crime,7.4,Peter Weir,William Kelley,Harrison Ford,Paramount Pictures,1985,United States
The Color Purple,PG-13,Drama,7.8,Steven Spielberg,Menno Meyjes,Danny Glover,Amblin Entertainment,1986,United States
Silverado,PG-13,Action,7.2,Lawrence Kasdan,Lawrence Kasdan,Kevin Kline,Columbia Pictures,1985,United States
Rocky IV,PG,Drama,6.9,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,United Artists,1985,United States
Better Off Dead...,PG,Comedy,7.1,Savage Steve Holland,Savage Steve Holland,John Cusack,A&M Films,1985,United States
Ran,R,Action,8.2,Akira Kurosawa,Akira Kurosawa,Tatsuya Nakadai,Greenwich Film Productions,1985,Japan
Ladyhawke,PG-13,Adventure,7.0,Richard Donner,Edward Khmara,Matthew Broderick,Twentieth Century Fox,1985,United States
Red Sonja,PG-13,Action,5.1,Richard Fleischer,Robert E. Howard,Arnold Schwarzenegger,Dino De Laurentiis Company,1985,United States
Fright Night,R,Fantasy,7.1,Tom Holland,Tom Holland,Chris Sarandon,Columbia Pictures,1985,United States
Explorers,PG,Adventure,6.5,Joe Dante,Eric Luke,Ethan Hawke,Paramount Pictures,1985,United States
Flesh+Blood,R,Adventure,6.7,Paul Verhoeven,Gerard Soeteman,Rutger Hauer,Riverside Pictures,1985,United States
Mad Max Beyond Thunderdome,PG-13,Action,6.3,George Miller,Terry Hayes,Mel Gibson,Kennedy Miller Productions,1985,United States
After Hours,R,Comedy,7.7,Martin Scorsese,Joseph Minion,Griffin Dunne,The Geffen Company,1985,United States
A View to a Kill,PG,Action,6.3,John Glen,Richard Maibaum,Roger Moore,Eon Productions,1985,United States
Fletch,PG,Comedy,6.9,Michael Ritchie,Gregory McDonald,Chevy Chase,Universal Pictures,1985,United States
Perfect,R,Drama,4.5,James Bridges,Aaron Latham,John Travolta,Columbia Pictures,1985,United States
A Nightmare on Elm Street 2: Freddy's Revenge,R,Horror,5.5,Jack Sholder,David Chaskin,Robert Englund,New Line Cinema,1985,United States
Summer Rental,PG,Comedy,6.3,Carl Reiner,Jeremy Stevens,John Candy,Paramount Pictures,1985,United States
Lifeforce,R,Action,6.2,Tobe Hooper,Colin Wilson,Steve Railsback,Golan-Globus Productions,1985,United States
Pee-wee's Big Adventure,PG,Adventure,7.0,Tim Burton,Phil Hartman,Paul Reubens,Warner Bros.,1985,United States
Out of Africa,PG,Biography,7.2,Sydney Pollack,Karen Blixen,Meryl Streep,Mirage Enterprises,1985,United States
Just One of the Guys,PG-13,Comedy,6.5,Lisa Gottlieb,Dennis Feldman,Joyce Hyser,Columbia Pictures,1985,United States
National Lampoon's European Vacation,PG-13,Adventure,6.2,Amy Heckerling,John Hughes,Chevy Chase,National Lampoon,1985,United States
Spies Like Us,PG,Adventure,6.4,John Landis,Dan Aykroyd,Chevy Chase,Warner Bros.,1985,United States
House,R,Comedy,6.2,Steve Miner,Fred Dekker,William Katt,New World Pictures,1986,United States
Police Academy 2: Their First Assignment,PG-13,Comedy,5.8,Jerry Paris,Neal Israel,Steve Guttenberg,Warner Bros.,1985,United States
The Black Cauldron,PG,Animation,6.4,Ted Berman,Lloyd Alexander,Grant Bardsley,Walt Disney Pictures,1985,United States
Friday the 13th: A New Beginning,R,Horror,4.8,Danny Steinmann,Martin Kitrosser,Melanie Kinnaman,Georgetown Productions Inc.,1985,United States
Runaway Train,R,Action,7.2,Andrey Konchalovskiy,Djordje Milicevic,Jon Voight,Golan-Globus Productions,1986,United States
Brewster's Millions,PG,Comedy,6.5,Walter Hill,George Barr McCutcheon,Richard Pryor,Universal Pictures,1985,United States
The Last Dragon,PG-13,Action,6.9,Michael Schultz,Louis Venosta,Taimak,Delphi III Productions,1985,United States
The Legend of Billie Jean,PG-13,Action,6.6,Matthew Robbins,Mark Rosenthal,Helen Slater,Gomillion Studios,1985,United States
Desperately Seeking Susan,PG-13,Comedy,6.0,Susan Seidelman,Leora Barish,Rosanna Arquette,Orion Pictures,1985,United States
Girls Just Want to Have Fun,PG,Comedy,6.0,Alan Metter,Amy Spies,Biff Yeager,New World Pictures,1985,United States
Vision Quest,R,Drama,6.6,Harold Becker,Terry Davis,Matthew Modine,Warner Bros.,1985,United States
Jagged Edge,R,Drama,6.5,Richard Marquand,Joe Eszterhas,Jeff Bridges,Columbia Pictures,1985,United States
Enemy Mine,PG-13,Action,6.9,Wolfgang Petersen,Barry Longyear,Dennis Quaid,Twentieth Century Fox,1985,United States
Tuff Turf,R,Action,6.1,Fritz Kiersch,Jette Rinck,James Spader,New World Pictures,1985,United States
Volunteers,R,Adventure,5.5,Nicholas Meyer,Keith Critchlow,Tom Hanks,HBO Pictures,1985,United States
The Jewel of the Nile,PG,Action,6.1,Lewis Teague,Mark Rosenthal,Michael Douglas,SLM Production Group,1985,United States
Once Bitten,PG-13,Comedy,5.5,Howard Storm,Dimitri Villard,Lauren Hutton,Night Life Inc.,1985,United States
Private Resort,R,Comedy,5.3,George Bowers,Gordon Mitchell,Rob Morrow,Delphi III Productions,1985,United States
Police Story,PG-13,Action,7.6,Jackie Chan,Jackie Chan,Jackie Chan,Golden Way Films Ltd.,1985,Hong Kong
Into the Night,R,Action,6.5,John Landis,Ron Koslow,Jeff Goldblum,Universal Pictures,1985,United States
The Sure Thing,PG-13,Comedy,7.0,Rob Reiner,Steve Bloom,John Cusack,Embassy Pictures,1985,United States
White Nights,PG-13,Drama,6.7,Taylor Hackford,James Goldman,Mikhail Baryshnikov,Columbia Pictures,1985,United States
Mischief,R,Comedy,6.5,Mel Damski,Noel Black,Doug McKeon,Twentieth Century Fox,1985,United States
Silver Bullet,R,Horror,6.4,Daniel Attias,Stephen King,Gary Busey,Dino De Laurentiis Company,1985,United States
Kiss of the Spider Woman,R,Drama,7.4,Hector Babenco,Manuel Puig,William Hurt,HB Filmes,1985,United States
My Beautiful Laundrette,R,Comedy,6.9,Stephen Frears,Hanif Kureishi,Saeed Jaffrey,Working Title Films,1986,United States
Young Sherlock Holmes,PG-13,Adventure,6.8,Barry Levinson,Arthur Conan Doyle,Nicholas Rowe,Amblin Entertainment,1985,United States
Smooth Talk,PG-13,Drama,6.5,Joyce Chopra,Joyce Carol Oates,Treat Williams,American Playhouse,1985,United States
Porky's Revenge,R,Comedy,4.8,James Komack,Bob Clark,Dan Monahan,Melvin Simon Productions,1985,United States
Year of the Dragon,R,Action,6.9,Michael Cimino,Robert Daley,Mickey Rourke,Dino De Laurentiis Company,1985,United States
Prizzi's Honor,R,Comedy,6.7,John Huston,Richard Condon,Jack Nicholson,ABC Motion Pictures,1985,United States
The Quiet Earth,R,Drama,6.8,Geoff Murphy,Craig Harrison,Bruno Lawrence,Cinepro,1985,United States
Creature,R,Horror,4.3,William Malone,William Malone,Stan Ivar,Trans World Entertainment (TWE),1986,France
Secret Admirer,R,Comedy,6.6,David Greenwalt,Jim Kouf,C. Thomas Howell,Orion Pictures,1985,United States
"No Retreat, No Surrender",PG,Action,5.7,Corey Yuen,See-Yuen Ng,Kurt McKinney,Seasonal Film Corporation,1986,United States
D.A.R.Y.L.,PG,Family,6.3,Simon Wincer,David Ambrose,Mary Beth Hurt,Paramount Pictures,1985,United States
Mishima: A Life in Four Chapters,R,Biography,8.0,Paul Schrader,Paul Schrader,Ken Ogata,Zoetrope Studios,1985,United States
A Chorus Line,PG-13,Drama,6.2,Richard Attenborough,Arnold Schulman,Michael Douglas,Embassy Pictures,1985,United States
Cat's Eye,PG-13,Comedy,6.3,Lewis Teague,Stephen King,Drew Barrymore,Dino De Laurentiis Company,1985,United States
Murphy's Romance,PG-13,Comedy,7.0,Martin Ritt,Max Schott,Sally Field,Columbia Pictures,1986,United States
Heaven Help Us,R,Comedy,6.9,Michael Dinner,Charles Purpura,Donald Sutherland,HBO Pictures,1985,United States
American Flyers,PG-13,Drama,6.5,John Badham,Steve Tesich,Kevin Costner,WW Production,1985,United States
The Journey of Natty Gann,PG,Adventure,7.0,Jeremy Kagan,Jeanne Rosenberg,Meredith Salenger,Walt Disney Pictures,1985,United States
Trouble in Mind,R,Comedy,6.5,Alan Rudolph,Alan Rudolph,Kris Kristofferson,Pfeiffer/Blocker Production,1986,United States
Fandango,PG,Comedy,6.7,Kevin Reynolds,Kevin Reynolds,Kevin Costner,Warner Bros.,1985,United States
Gotcha!,PG-13,Action,6.2,Jeff Kanew,Paul G. Hensler,Anthony Edwards,Universal Pictures,1985,United States
Death Wish 3,R,Action,5.9,Michael Winner,Don Jakoby,Charles Bronson,The Cannon Group,1985,United States
King Solomon's Mines,PG-13,Action,5.2,J. Lee Thompson,H. Rider Haggard,Richard Chamberlain,The Cannon Group,1985,United States
American Warrior,R,Action,5.5,Sam Firstenberg,Paul De Mielche,Michael Dudikoff,The Cannon Group,1985,United States
The Emerald Forest,R,Action,6.9,John Boorman,Rospo Pallenberg,Powers Boothe,Christel Films,1985,United States
The Holcroft Covenant,R,Action,5.7,John Frankenheimer,Robert Ludlum,Michael Caine,Edie & Ely Landau Inc.,1985,United States
