name,rating,genre,score,director,writer,star,company,year,country
The Howling,R,Horror,6.6,Joe Dante,Gary Brandner,Dee Wallace,Embassy Pictures,1981,United States
Dragonslayer,PG,Action,6.7,Matthew Robbins,Hal Barwood,Peter MacNicol,Paramount Pictures,1981,United States
Cutter's Way,R,Crime,6.9,Ivan Passer,Newton Thornburg,Jeff Bridges,Gurian Entertainment,1982,France
Quest for Fire,R,Adventure,7.3,Jean-Jacques Annaud,Gérard Brach,Everett McGill,International Cinema Corporation (ICC),1982,United States
The Final Conflict,R,Horror,5.6,Graham Baker,David Seltzer,Sam Neill,Twentieth Century Fox,1981,United States
Mommie Dearest,R,Biography,6.7,Frank Perry,Christina Crawford,Faye Dunaway,Paramount Pictures,1981,United States
Private Lessons,R,Comedy,5.2,Alan Myerson,Dan Greenburg,Sylvia Kristel,Barry & Enright Productions,1981,United States
The Postman Always Rings Twice,R,Crime,6.6,Bob Rafelson,David Mamet,Jack Nicholson,CIP Filmproduktion GmbH,1981,United States
Ragtime,PG,Drama,7.3,Milos Forman,E.L. Doctorow,James Cagney,Dino De Laurentiis Company,1981,United States
Deadly Blessing,R,Horror,5.6,Wes Craven,Glenn M. Benest,Maren Jensen,PolyGram Filmed Entertainment,1981,United States
Eyewitness,R,Crime,6.0,Peter Yates,Steve Tesich,William Hurt,Twentieth Century Fox,1981,United States
Gallipoli,PG,Adventure,7.4,Peter Weir,David Williamson,Mel Gibson,R&R Films,1981,United States
Outland,R,Action,6.6,Peter Hyams,Peter Hyams,Sean Connery,The Ladd Company,1981,United States
Southern Comfort,R,Action,7.2,Walter Hill,Michael Kane,Keith Carradine,Cinema Group Ventures,1981,United States
S.O.B.,R,Comedy,6.4,Blake Edwards,Blake Edwards,Julie Andrews,Artista Management,1981,United States
The Beyond,R,Horror,6.8,Lucio Fulci,Dardano Sacchetti,Catriona MacColl,Fulvia Film,1983,United States
Ghost Story,R,Drama,6.3,John Irvin,Peter Straub,Craig Wasson,Universal Pictures,1981,United States
My Bloody Valentine,R,Horror,6.3,George Mihalka,Stephen A. Miller,Paul Kelman,Canadian Film Development Corporation (CFDC),1981,United States
The Funhouse,R,Horror,5.9,Tobe Hooper,Lawrence J. Block,Elizabeth Berridge,Universal Pictures,1981,United States
One from the Heart,R,Drama,6.5,Francis Ford Coppola,Armyan Bernstein,Frederic Forrest,Zoetrope Studios,1982,United States
